,S1_TC_BC_Ambient.temperature,S1_TC_Drip_Tray.temperature,S1_TC_HS_AL_Plate.temperature,S1_TC_HS_E2_9.temperature,S1_TC_LOx_Tank.temperature,missionTime
0,,,,,,-59.87250137
1,,,,,,-59.7725029
2,,,,,,-59.67250061
3,,,,,,-59.57250214
4,,,,,,-59.47249985
5,,,,,,-59.37250137
6,,,,,,-59.2725029
7,61.26885979162476,-42.526417829988524,-43.437371954642686,-31.305325035307483,-14.677283502649264,-59.17250061
8,61.26949678048853,-42.52529551370481,-43.43735441916948,-31.307095700113702,-14.677874638890527,-59.07250214
9,61.27013393641462,-42.52417290307254,-43.43733687909727,-31.30886682931008,-14.678465930168391,-58.97249985
10,61.270770946540864,-42.523050549326285,-43.43731934303874,-31.310637553220506,-14.679057086141585,-58.87250137
11,61.271407821498514,-42.52192843373478,-43.43730181070122,-31.312407901397066,-14.679648116676072,-58.7725029
12,61.27180743,-42.52122436,-43.43729081,-31.31351871,-14.68001896,-58.67250061
13,61.27180743,-42.52122436,-43.43729081,-31.31351871,-14.68001896,-58.57250214
14,61.27180743,-42.52122436,-43.43729081,-31.31351871,-14.68001896,-58.47249985
15,61.27180743,-42.52122436,-43.43729081,-31.31351871,-14.68001896,-58.37250137
16,61.27180743,-42.52122436,-43.43729081,-31.31351871,-14.68001896,-58.2725029
17,61.27210993779741,-42.521830682948575,-43.43740582582631,-31.312673314235088,-14.68034039163134,-58.17250061
18,61.27292165760322,-42.52345763058528,-43.43771444803373,-31.31040486201003,-14.68120288980034,-58.07250214
19,61.2737333851501,-42.52508459373761,-43.438023073184354,-31.308136388151567,-14.682065396194671,-57.97249985
20,61.274545339123534,-42.52671201072157,-43.43833178442413,-31.305867281515887,-14.682928143180003,-57.87250137
21,61.27535695248952,-42.528338745018615,-43.43864036616229,-31.303599126750207,-14.683790528250672,-57.7725029
22,61.275866,-42.52935904,-43.43883391,-31.30217653,-14.68433142,-57.67250061
23,61.275866,-42.52935904,-43.43883391,-31.30217653,-14.68433142,-57.57250214
24,61.275866,-42.52935904,-43.43883391,-31.30217653,-14.68433142,-57.47249985
25,61.275866,-42.52935904,-43.43883391,-31.30217653,-14.68433142,-57.37250137
26,61.275866,-42.52935904,-43.43883391,-31.30217653,-14.68433142,-57.2725029
27,61.27571374728605,-42.529282767929175,-43.43867086551697,-31.301694833547373,-14.6843884250475,-57.17250061
28,61.27530521336426,-42.52907810997984,-43.43823337445129,-31.300402315760376,-14.68454138452529,-57.07250214
29,61.27489665898744,-42.52887344178341,-43.43779586148072,-31.299109733257808,-14.684694351661662,-56.97249985
30,61.27448811727326,-42.52866877993042,-43.43735836207031,-31.297817190817263,-14.684847314057007,-56.87250137
31,61.274079570688826,-42.52846411563765,-43.436920857444456,-31.296524632968246,-14.685000278275824,-56.7725029
32,61.27382327,-42.52833572,-43.43664639,-31.29571375,-14.68509624,-56.67250061
33,61.27382327,-42.52833572,-43.43664639,-31.29571375,-14.68509624,-56.56750107
