,S1_TC_BC_Ambient.temperature,S1_TC_Drip_Tray.temperature,S1_TC_HS_AL_Plate.temperature,S1_TC_HS_E2_9.temperature,S1_TC_LOx_Tank.temperature,missionTime
0,,,,,,-28.34000206
1,,,,,,-28.24000168
2,60.24075009,-42.25669419,-43.20179278,-31.08280806,-14.46344424,-28.1400013
3,60.24075009,-42.25669419,-43.20179278,-31.08280806,-14.46344424,-28.04000282
4,60.24075009,-42.25669419,-43.20179278,-31.08280806,-14.46344424,-27.94000244
5,60.24075009,-42.25669419,-43.20179278,-31.08280806,-14.46344424,-27.84000206
6,60.24075009,-42.25669419,-43.20179278,-31.08280806,-14.46344424,-27.74000168
7,60.2405466232023,-42.2565266479031,-43.20182331882864,-31.08220586822037,-14.462822335473126,-27.6400013
8,60.239670334680895,-42.255805079480034,-43.20195484311319,-31.07961235542056,-14.460143924034664,-27.54000282
9,60.23879410674244,-42.25508356094322,-43.20208635830469,-31.077019021925462,-14.457465697770452,-27.44000244
10,60.23791790596186,-42.2543620647692,-43.20221786942,-31.074425768808336,-14.454787554515386,
11,60.23791790596186,-42.2543620647692,-43.20221786942,-31.074425768808336,-14.454787554515386,
12,60.23704172398288,-42.25364058407712,-43.20234937771333,-31.0718325713375,-14.452109468728192,-27.24000168
13,60.23636899,-42.25308663,-43.20245035,-31.06984151,-14.45005323,-27.1400013
14,60.23636899,-42.25308663,-43.20245035,-31.06984151,-14.45005323,-27.04000282
15,60.23636899,-42.25308663,-43.20245035,-31.06984151,-14.45005323,-26.94000244
16,60.23636899,-42.25308663,-43.20245035,-31.06984151,-14.45005323,-26.84000206
17,60.23636899,-42.25308663,-43.20245035,-31.06984151,-14.45005323,-26.74000168
18,60.236503858343,-42.25296086667909,-43.20235054786292,-31.069931195187756,-14.449631757658558,-26.6400013
19,60.2370844117613,-42.25241950668144,-43.20192094021335,-31.070317253481065,-14.447817490476927,-26.54000282
20,60.237664992862506,-42.25187812086976,-43.20149131207852,-31.070703330183044,-14.446003136784425,-26.44000244
21,60.23824551721375,-42.25133678797683,-43.20106172593847,-31.071089369147256,-14.444188960439217,-26.34000206
22,60.23882611630884,-42.25079538538604,-43.20063208448823,-31.07147545781487,-14.44237455051464,-26.24000168
23,60.2392718,-42.25037979,-43.20030228,-31.07177183,-14.44098176,-26.1400013
24,60.2392718,-42.25037979,-43.20030228,-31.07177183,-14.44098176,-26.04000282
25,60.2392718,-42.25037979,-43.20030228,-31.07177183,-14.44098176,-25.94000244
26,60.2392718,-42.25037979,-43.20030228,-31.07177183,-14.44098176,-25.84000206
27,60.2392718,-42.25037979,-43.20030228,-31.07177183,-14.44098176,-25.74000168
28,60.23930270461436,-42.25055154863233,-43.20030268742821,-31.07165812222214,-14.44108720074822,-25.6400013
29,60.23943574871115,-42.25129096805487,-43.20030444140312,-31.071168611224643,-14.441541122254833,-25.54000282
30,60.239568793759545,-42.25203039276613,-43.200306195390574,-31.070679096725893,-14.441995047008136,-25.44000244
31,60.239701836270335,-42.25276980337412,-43.20030794934458,-31.07018959156381,-14.442448963103589,-25.34000206
32,60.23983488829716,-42.25350926686942,-43.20030970342403,-31.069700051389223,-14.442902911665987,-25.24000168
33,60.23993703,-42.25407694,-43.20031105,-31.06932424,-14.4432514,-25.1400013
34,60.23993703,-42.25407694,-43.20031105,-31.06932424,-14.4432514,-25.04000282
35,60.23993703,-42.25407694,-43.20031105,-31.06932424,-14.4432514,-24.94000244
36,60.23993703,-42.25407694,-43.20031105,-31.06932424,-14.4432514,-24.84000206
37,60.23993703,-42.25407694,-43.20031105,-31.06932424,-14.4432514,-24.74000168
38,60.24002418577656,-42.25425956109122,-43.20032327814039,-31.069041237791478,-14.443424434485786,-24.6400013
39,,,,,,
40,60.24039907263154,-42.25504507697156,-43.20037587556161,-31.06782394833452,-14.444168715091704,-24.54000282
41,60.24077401133464,-42.25583070149138,-43.20042848025724,-31.066606490522343,-14.444913098634125,-24.44000244
42,60.24114896881033,-42.25661636534618,-43.200481087586695,-31.065388971753983,-14.445657519446655,-24.34000206
43,60.24152390393769,-42.25740198237362,-43.20053369178064,-31.06417152555252,-14.44640189589001,-24.24000168
44,60.24181177,-42.25800516,-43.20057408,-31.0632368,-14.44697341,-24.1400013
45,60.24181177,-42.25800516,-43.20057408,-31.0632368,-14.44697341,-24.04000282
46,60.24181177,-42.25800516,-43.20057408,-31.0632368,-14.44697341,-23.94000244
47,60.24181177,-42.25800516,-43.20057408,-31.0632368,-14.44697341,-23.84000206
48,60.24181177,-42.25800516,-43.20057408,-31.0632368,-14.44697341,-23.74000168
49,60.24203508455032,-42.25734056770271,-43.20057856262442,-31.063351299353865,-14.446796651250622,-23.6400013
50,60.24299587158349,-42.25448123023165,-43.20059784863785,-31.063843920610918,-14.446036165585216,-23.54000282
51,60.24395674567081,-42.25162163368421,-43.20061713639872,-31.064336586502968,-14.44527561101438,-23.44000244
52,60.244917695357806,-42.248761812149375,-43.20063642567712,-31.064829291156997,-14.444514996604616,-23.34000206
53,57.44860223924748,-42.243707,-43.20067052,-31.06570016,-14.44317059,-23.1400013
54,60.24587850988176,-42.24590239286473,-43.20065571224237,-31.06532192650931,-14.443754489179604,-23.24000168
55,45.39875039995307,-42.243707,-43.20067052,-31.06570016,-14.44317059,-23.04000282
56,33.3486687348785,-42.243707,-43.20067052,-31.06570016,-14.44317059,-22.94000244
57,21.2985583415814,-42.243707,-43.20067052,-31.06570016,-14.44317059,-22.84000206
58,9.250516380305877,-42.243707,-43.20067052,-31.06570016,-14.44317059,-22.74000168
